Organism_Combination,Count
Candida albicans | Candida glabrata | Corynebacterium striatum | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Klebsiella oxytoca | Klebsiella pneumoniae complex | Klebsiella species | Morganella morganii | Proteus mirabilis | Staphylococcus aureus,1
"Escherichia coli | Klebsiella pneumoniae | Morganella morganii | Proteus mirabilis | Staphylococcus, coagulase negative",1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Pseudomonas aeruginosa | Staphylococcus, coagulase negative | Streptococcus, group G",1
Enterococcus faecalis | Klebsiella pneumoniae complex | Streptococcus constellatus,1
Candida glabrata | Enterobacter cloacae complex | Escherichia coli | Klebsiella species | Raoultella species,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida parapsilosis | Diphtheroids | Enterococcus faecalis | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa | Serratia species | Staphylococcus caprae,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterobacter cloacae complex | Staphylococcus aureus,1
"Clostridioides difficile | Enterococcus faecium | Escherichia coli | Staphylococcus, coagulase negative | Streptococcus species",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida glabrata | Clostridioides difficile | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterobacter species | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus | Stenotrophomonas maltophilia,1
Bacteroides fragilis group | Enterobacter cloacae complex | Klebsiella pneumoniae complex,1
Clostridioides difficile | Escherichia coli | Gram-negative bacilli | Klebsiella pneumoniae | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus,1
Bacteroides fragilis | Candida albicans | Enterococcus faecium | Escherichia coli | Fusobacterium species | Klebsiella species | Pseudomonas aeruginosa,1
Candida albicans | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida species | Enterococcus faecalis | Klebsiella aerogenes | Methicillin resistant Staphylococcus aureus,1
Candida albicans | Candida parapsilosis | Corynebacterium striatum | Diphtheroids | Enterococcus raffinosus | Pseudomonas aeruginosa | Staphylococcus caprae | Staphylococcus haemolyticus,1
Candida albicans | Enterococcus faecalis | Staphylococcus haemolyticus,1
Klebsiella pneumoniae | Klebsiella variicola | Pseudomonas aeruginosa | Serratia marcescens,1
Enterobacter cloacae complex | Escherichia coli | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterobacter cloacae complex | Morganella morganii,1
Escherichia coli | Prevotella bivia | Streptococcus agalactiae,1
Bacteroides thetaiotaomicron | Enterococcus faecalis | Escherichia coli | Lactobacillus species | Pseudomonas aeruginosa,1
Clostridium perfringens | Escherichia coli | Klebsiella species | Stenotrophomonas maltophilia,1
Bacteroides fragilis | Escherichia coli | Klebsiella pneumoniae | Streptococcus constellatus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterococcus faecalis | Pseudomonas aeruginosa | Streptococcus agalactiae,1
Diphtheroids | Escherichia coli | Klebsiella species | Proteus mirabilis,1
Escherichia coli | Pasteurella multocida,1
Aspergillus flavus | Corynebacterium species | Corynebacterium striatum,1
Bacteroides fragilis | Bacteroides fragilis group | Escherichia coli | Streptococcus anginosus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Anaerococcus species | Arcanobacterium haemolyticum | Enterococcus avium | Enterococcus faecalis | Methicillin resistant Staphylococcus aureus | Morganella morganii | Peptoniphilus species | Peptostreptococcus anaerobius | Porphyromonas asaccharolytica | Proteus mirabilis | Staphylococcus caprae | Streptococcus dysgalactiae,1
Candida albicans | Enterococcus faecalis | Serratia species | Staphylococcus epidermidis,1
Diphtheroids | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacillus species | Diphtheroids | Methicillin resistant Staphylococcus aureus | Streptococcus agalactiae,1
"Coliform bacteria | Pseudomonas aeruginosa | Staphylococcus, coagulase negative | Streptococcus, group G",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida glabrata | Corynebacterium striatum | Enterococcus species | Escherichia coli | Pseudomonas aeruginosa,1
Gram-positive cocci | Staphylococcus lugdunensis | Staphylococcus warneri,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum | Klebsiella pneumoniae | Proteus mirabilis | Providencia stuartii,1
"Pseudomonas aeruginosa | Staphylococcus haemolyticus | Streptococcus, group G",1
Aeromonas species | Bacteroides species | Escherichia coli | Morganella morganii,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Anaerobic bacteria | Clostridium species | Escherichia coli | Klebsiella pneumoniae complex,1
Acinetobacter baumannii | Acinetobacter species | Enterococcus faecalis | Escherichia coli | Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida tropicalis | Corynebacterium striatum | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Diphtheroids | Escherichia coli | Klebsiella pneumoniae | Mycobacterium avium complex,1
Klebsiella pneumoniae | Neisseria species | Streptococcus salivarius group,1
"Bacteroides species | Candida species | Diphtheroids | Escherichia coli | Methicillin resistant Staphylococcus aureus | Parabacteroides species | Pseudomonas aeruginosa | Staphylococcus lugdunensis | Staphylococcus, coagulase negative",1
Bacteroides caccae | Citrobacter freundii complex | Fusobacterium varium,1
Diphtheroids | Enterobacter cloacae complex | Enterococcus faecium | Staphylococcus aureus,1
Candida dubliniensis | Klebsiella aerogenes | Mycobacterium species | Mycobacterium tuberculosis,1
Proteus species | Streptococcus species,1
Candida parapsilosis | Pseudomonas aeruginosa | Serratia species,1
Corynebacterium species | Enterococcus faecalis | Staphylococcus aureus,1
Candida tropicalis | Serratia marcescens,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida species | Corynebacterium striatum | Escherichia coli | Methicillin resistant Staphylococcus aureus | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex,1
Candida albicans | Coliform bacteria | Enterococcus faecium | Escherichia coli | Proteus mirabilis,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Enterococcus faecium | Staphylococcus aureus | Streptococcus dysgalactiae subsp. equisimilis,1
Bacteroides fragilis | Morganella morganii | Porphyromonas species | Proteus species | Staphylococcus aureus,1
"Bacteroides fragilis | Candida albicans | Clostridium perfringens | Enterococcus faecium | Escherichia coli | Klebsiella species | Staphylococcus, coagulase negative | Streptococcus anginosus",1
"Bacillus cereus group | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae complex | Streptococcus anginosus,1
Parvimonas micra | Pseudomonas aeruginosa | Stenotrophomonas maltophilia | Streptococcus anginosus,1
"Candida auris | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Streptococcus, group C",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida glabrata | Escherichia coli | Klebsiella pneumoniae complex | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus aureus,1
"Candida tropicalis | Escherichia coli | Gemella species | Streptococcus, viridans group",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida parapsilosis complex | Klebsiella aerogenes,1
Anaerobic Gram-negative bacilli | Anaerobic Gram-positive cocci,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus raffinosus | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa,1
Alpha-haemolytic streptococcus | Klebsiella pneumoniae | Mycobacterium abscessus | Neisseria species | Prevotella species,1
Candida albicans | Candida glabrata | Candida species | Diphtheroids | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Stenotrophomonas maltophilia | Veillonella species,1
Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Pseudomonas aeruginosa | Staphylococcus aureus,1
"Staphylococcus hominis | Staphylococcus, coagulase negative",1
"Prevotella species | Staphylococcus lugdunensis | Staphylococcus, coagulase negative",1
Candida albicans | Methicillin resistant Staphylococcus aureus | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex | Staphylococcus aureus,1
Bacteroides fragilis | Enterobacter species | Enterococcus faecium | Escherichia coli,1
Aspergillus flavus | Escherichia coli,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida tropicalis | Stenotrophomonas maltophilia,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida glabrata | Corynebacterium striatum | Enterococcus faecalis | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
Enterobacter species | Enterococcus faecalis | Escherichia coli,1
Enterococcus faecalis | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Serratia species,1
Enterobacter cloacae complex | Escherichia coli | Klebsiella aerogenes | Staphylococcus capitis | Staphylococcus lugdunensis,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacillus species | Methicillin resistant Staphylococcus aureus | Staphylococcus saprophyticus | Staphylococcus, coagulase negative",1
Coliform bacteria | Enterococcus faecalis | Proteus mirabilis | Pseudomonas aeruginosa,1
"Diphtheroids | Staphylococcus, coagulase negative | Streptococcus mitis group",1
Candida glabrata | Candida tropicalis | Corynebacterium striatum | Staphylococcus aureus,1
Arcanobacterium haemolyticum | Bacteroides fragilis | Diphtheroids | Enterococcus faecalis | Proteus mirabilis | Staphylococcus aureus,1
Acinetobacter junii | Methicillin resistant Staphylococcus aureus | Streptococcus anginosus,1
Candida albicans | Corynebacterium species | Enterococcus faecium | Enterococcus species,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium jeikeium | Corynebacterium striatum | Enterococcus faecium | Fusobacterium nucleatum | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Staphylococcus aureus | Streptococcus agalactiae,1
Bacteroides fragilis | Corynebacterium striatum | Escherichia coli | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Streptococcus milleri group,1
Aeromonas species | Candida albicans | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Morganella morganii | Prevotella disiens | Prevotella heparinolytica | Streptococcus anginosus,1
Coliform bacteria | Escherichia coli | Proteus species,1
Bacteroides fragilis | Enterococcus raffinosus,1
"Candida albicans | Corynebacterium striatum | Escherichia coli | Gram-positive coccobacilli | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Clostridioides difficile | Enterococcus faecium | Stenotrophomonas maltophilia,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida parapsilosis | Coliform bacteria | Escherichia coli | Proteus mirabilis,1
"Coliform bacteria | Corynebacterium species | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus, coagulase negative | Trichophyton rubrum",1
Candida albicans | Saccharomyces cerevisiae,1
Enterococcus faecalis | Enterococcus species | Pseudomonas aeruginosa,1
"Candida lusitaniae | Proteus species | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Candida albicans | Candida glabrata | Clostridium perfringens | Escherichia coli,1
"Clostridium ramosum | Klebsiella aerogenes | Staphylococcus aureus | Staphylococcus, coagulase negative",1
Actinomyces odontolyticus | Citrobacter species,1
Alpha-haemolytic streptococcus | Enterococcus faecium | Escherichia coli,1
Geotrichum species,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Flavobacterium species | Proteus mirabilis | Proteus species | Pseudomonas aeruginosa | Pseudomonas species | Streptococcus agalactiae,1
Citrobacter freundii complex | Corynebacterium species | Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae | Pseudomonas aeruginosa | Staphylococcus aureus,1
Klebsiella species | Parabacteroides gordonii,1
Citrobacter species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus,1
Aspergillus fumigatus | Klebsiella pneumoniae,1
Candida parapsilosis complex | Klebsiella species,1
Acinetobacter baumannii | Bacillus species | Candida albicans | Clostridium perfringens | Enterococcus species | Escherichia coli,1
Citrobacter koseri | Citrobacter species | Corynebacterium amycolatum | Enterococcus faecalis | Prevotella bivia | Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacteroides fragilis group | Bacteroides species | Candida albicans | Coliform bacteria | Corynebacterium striatum | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Micrococcus species,1
Actinomyces neuii | Haemophilus parainfluenzae | Prevotella bivia | Staphylococcus aureus,1
Alpha-haemolytic streptococcus | Corynebacterium striatum | Neisseria macacae | Pseudomonas aeruginosa,1
Candida glabrata | Enterobacter cloacae complex | Enterobacter species | Pseudomonas aeruginosa,1
